Station,Direction,Time,Predicted Congestion
청량리,1,5:30,8.912764710187913
청량리,1,6:00,20.600160616636277
청량리,1,6:30,9.210353583097458
청량리,1,7:00,20.62118992209435
청량리,1,7:30,8.174793934822084
청량리,1,8:00,20.95724342465401
청량리,1,8:30,7.401058530807496
청량리,1,9:00,13.092983919382096
청량리,1,9:30,8.970024597644807
청량리,1,10:00,12.702482503652574
청량리,1,10:30,6.09355731010437
청량리,1,11:00,12.112802284955979
청량리,1,11:30,6.6409405231475835
청량리,1,12:00,11.182602274417878
청량리,1,12:30,7.662483644485475
청량리,1,13:00,9.314588069915771
청량리,1,13:30,7.782728505134584
청량리,1,14:00,8.41958920955658
청량리,1,14:30,7.469571733474732
청량리,1,15:00,10.178326517343523
청량리,1,15:30,7.422571849822999
청량리,1,16:00,17.19718049168587
청량리,1,16:30,8.058204460144044
청량리,1,17:00,18.643223369121554
청량리,1,17:30,10.724730867147446
청량리,1,18:00,18.742800128459933
청량리,1,18:30,14.410490494966508
청량리,1,19:00,20.692197239398958
청량리,1,19:30,16.50887167453766
청량리,1,20:00,18.28812537789345
청량리,1,20:30,19.010829859972002
청량리,1,21:00,21.24344894886017
청량리,1,21:30,14.891105121374132
청량리,1,22:00,13.98511301279068
청량리,1,22:30,14.858340293169023
청량리,1,23:00,14.266019672155382
청량리,1,23:30,14.101245564222337
청량리,1,0:00,14.11254764199257
청량리,1,0:30,8.796747744083405
청량리,0,5:30,8.912764710187913
청량리,0,6:00,20.600160616636277
청량리,0,6:30,9.210353583097458
청량리,0,7:00,20.62118992209435
청량리,0,7:30,8.174793934822084
청량리,0,8:00,20.95724342465401
청량리,0,8:30,7.401058530807496
청량리,0,9:00,13.092983919382096
청량리,0,9:30,8.970024597644807
청량리,0,10:00,12.702482503652574
청량리,0,10:30,6.09355731010437
청량리,0,11:00,12.112802284955979
청량리,0,11:30,6.6409405231475835
청량리,0,12:00,11.182602274417878
청량리,0,12:30,7.662483644485475
청량리,0,13:00,9.314588069915771
청량리,0,13:30,7.782728505134584
청량리,0,14:00,8.41958920955658
청량리,0,14:30,7.469571733474732
청량리,0,15:00,10.178326517343523
청량리,0,15:30,7.422571849822999
청량리,0,16:00,17.19718049168587
청량리,0,16:30,8.058204460144044
청량리,0,17:00,18.643223369121554
청량리,0,17:30,10.724730867147446
청량리,0,18:00,18.742800128459933
청량리,0,18:30,14.410490494966508
청량리,0,19:00,20.692197239398958
청량리,0,19:30,16.50887167453766
청량리,0,20:00,18.28812537789345
청량리,0,20:30,19.010829859972002
청량리,0,21:00,21.24344894886017
청량리,0,21:30,14.891105121374132
청량리,0,22:00,13.98511301279068
청량리,0,22:30,14.858340293169023
청량리,0,23:00,14.266019672155382
청량리,0,23:30,14.101245564222337
청량리,0,0:00,14.11254764199257
청량리,0,0:30,8.796747744083405
제기동,1,5:30,8.912764710187913
제기동,1,6:00,20.600160616636277
제기동,1,6:30,9.210353583097458
제기동,1,7:00,20.62118992209435
제기동,1,7:30,8.174793934822084
제기동,1,8:00,20.95724342465401
제기동,1,8:30,7.401058530807496
제기동,1,9:00,13.092983919382096
제기동,1,9:30,8.970024597644807
제기동,1,10:00,12.702482503652574
제기동,1,10:30,6.09355731010437
제기동,1,11:00,12.112802284955979
제기동,1,11:30,6.6409405231475835
제기동,1,12:00,11.182602274417878
제기동,1,12:30,7.662483644485475
제기동,1,13:00,9.314588069915771
제기동,1,13:30,7.782728505134584
제기동,1,14:00,8.41958920955658
제기동,1,14:30,7.469571733474732
제기동,1,15:00,10.178326517343523
제기동,1,15:30,7.422571849822999
제기동,1,16:00,17.19718049168587
제기동,1,16:30,8.058204460144044
제기동,1,17:00,18.643223369121554
제기동,1,17:30,10.724730867147446
제기동,1,18:00,18.742800128459933
제기동,1,18:30,14.410490494966508
제기동,1,19:00,20.692197239398958
제기동,1,19:30,16.50887167453766
제기동,1,20:00,18.28812537789345
제기동,1,20:30,19.010829859972002
제기동,1,21:00,21.24344894886017
제기동,1,21:30,14.891105121374132
제기동,1,22:00,13.98511301279068
제기동,1,22:30,14.858340293169023
제기동,1,23:00,14.266019672155382
제기동,1,23:30,14.101245564222337
제기동,1,0:00,14.11254764199257
제기동,1,0:30,8.796747744083405
제기동,0,5:30,8.912764710187913
제기동,0,6:00,20.600160616636277
제기동,0,6:30,9.210353583097458
제기동,0,7:00,20.62118992209435
제기동,0,7:30,8.174793934822084
제기동,0,8:00,20.95724342465401
제기동,0,8:30,7.401058530807496
제기동,0,9:00,13.092983919382096
제기동,0,9:30,8.970024597644807
제기동,0,10:00,12.702482503652574
제기동,0,10:30,6.09355731010437
제기동,0,11:00,12.112802284955979
제기동,0,11:30,6.6409405231475835
제기동,0,12:00,11.182602274417878
제기동,0,12:30,7.662483644485475
제기동,0,13:00,9.314588069915771
제기동,0,13:30,7.782728505134584
제기동,0,14:00,8.41958920955658
제기동,0,14:30,7.469571733474732
제기동,0,15:00,10.178326517343523
제기동,0,15:30,7.422571849822999
제기동,0,16:00,17.19718049168587
제기동,0,16:30,8.058204460144044
제기동,0,17:00,18.643223369121554
제기동,0,17:30,10.724730867147446
제기동,0,18:00,18.742800128459933
제기동,0,18:30,14.410490494966508
제기동,0,19:00,20.692197239398958
제기동,0,19:30,16.50887167453766
제기동,0,20:00,18.28812537789345
제기동,0,20:30,19.010829859972002
제기동,0,21:00,21.24344894886017
제기동,0,21:30,14.891105121374132
제기동,0,22:00,13.98511301279068
제기동,0,22:30,14.858340293169023
제기동,0,23:00,14.266019672155382
제기동,0,23:30,14.101245564222337
